ApplicantID,UserID,IncomeType,EducationType,FamilyStatus,HousingType,EmploymentDays,AnnualIncome,Age,NumChildren,OwnsCar,OwnsRealty,HistoryID,PastDefaults,OverdueMonths,CreditUtilization,ExistingCreditLines,Approved
54,60,Commercial associate,Higher education,Single,House / apartment,-7349.0,51668.59,41,3,Y,Y,54,0,1,0.485,1,1
55,14,Working,Secondary,Single,With parents,-4488.0,42835.62,25,0,Y,N,55,0,2,0.032,3,0
56,9,Working,Higher education,Married,House / apartment,-5908.0,91410.87,27,1,Y,Y,56,0,1,0.291,4,1
57,90,Working,Secondary,Married,House / apartment,-4630.0,28345.93,32,2,N,N,57,1,0,0.127,5,0
58,53,Pensioner,Incomplete higher,Single,House / apartment,-3216.0,40065.58,37,0,Y,Y,58,0,1,0.196,5,0
59,130,Commercial associate,Secondary,Married,House / apartment,-12229.0,33449.7,44,0,N,Y,59,0,0,0.338,1,0
60,84,Working,Lower secondary,Single,House / apartment,-8223.0,77922.08,57,1,N,Y,60,0,1,0.695,4,1
61,92,Working,Academic degree,Married,House / apartment,-14887.0,30857.15,64,2,N,N,61,0,2,0.315,4,0
62,111,Commercial associate,Higher education,Married,With parents,-14469.0,21489.89,39,3,Y,N,62,0,1,0.063,9,1
63,188,Working,Secondary,Married,House / apartment,-5286.0,59523.31,36,0,N,Y,63,2,0,0.184,1,0
64,199,Working,Higher education,Married,Municipal apartment,-11590.0,46044.92,45,0,N,Y,64,0,1,0.192,6,1
65,172,Working,Incomplete higher,Married,House / apartment,-5764.0,78288.6,47,0,Y,Y,65,0,0,0.533,9,0
66,8,Commercial associate,Higher education,Married,House / apartment,-9161.0,70654.32,62,0,N,N,66,0,1,0.135,1,1
67,175,Working,Academic degree,Married,House / apartment,-6776.0,48092.55,64,1,Y,Y,67,1,0,0.332,0,0
68,35,Working,Secondary,Married,With parents,-6676.0,25605.69,27,2,Y,N,68,0,0,0.486,5,1
69,81,Pensioner,Secondary,Married,House / apartment,-3841.0,28591.19,62,2,N,N,69,0,0,0.256,0,0
70,164,Working,Higher education,Single,House / apartment,-13274.0,22071.98,28,0,Y,Y,70,0,2,0.311,3,1
71,50,Working,Higher education,Married,House / apartment,-9930.0,46063.78,35,1,N,N,71,0,2,0.509,3,1
72,104,Working,Secondary,Single,House / apartment,-6783.0,36445.88,36,1,N,Y,72,2,0,0.008,5,0
73,132,Working,Higher education,Single,Rented apartment,-12352.0,45192.04,28,0,Y,Y,73,0,1,0.147,4,0
74,2,Pensioner,Incomplete higher,Single,House / apartment,-2168.0,53003.0,56,0,Y,N,74,0,2,0.352,3,1
75,134,Working,Higher education,Widow,Municipal apartment,-5547.0,115178.15,52,2,N,Y,75,1,0,0.486,5,1
76,54,Working,Secondary,Married,With parents,-12935.0,63665.0,37,0,N,N,76,1,2,0.256,9,1
77,106,Commercial associate,Higher education,Single,House / apartment,-3463.0,50619.98,56,0,N,Y,77,0,1,0.264,4,1
78,4,Commercial associate,Secondary,Widow,House / apartment,-14067.0,24241.99,42,0,N,Y,78,1,0,0.285,6,0
79,54,Commercial associate,Secondary,Civil marriage,House / apartment,-376.0,49602.43,52,1,N,N,79,0,2,0.632,4,0
80,191,Working,Higher education,Married,House / apartment,-13950.0,72898.89,31,0,N,N,80,0,1,0.5,8,0
81,146,Working,Higher education,Married,House / apartment,-5992.0,58447.12,26,0,Y,N,81,0,0,0.345,2,1
82,44,Commercial associate,Higher education,Married,House / apartment,-8970.0,30591.04,42,2,N,Y,82,1,1,0.023,1,0
83,162,Working,Secondary,Single,Municipal apartment,-2605.0,41381.85,34,1,N,Y,83,0,1,0.505,0,1
84,190,Pensioner,Secondary,Single,With parents,-7884.0,50666.38,48,0,N,N,84,0,1,0.082,4,0
85,14,Pensioner,Secondary,Married,With parents,-9957.0,40796.4,59,2,Y,Y,85,0,2,0.215,7,1
86,95,Pensioner,Secondary,Married,House / apartment,-6071.0,37134.52,32,2,N,N,86,0,1,0.288,8,0
87,48,Working,Higher education,Single,House / apartment,-8533.0,18652.94,47,2,N,Y,87,1,3,0.235,2,0
88,15,Working,Higher education,Married,House / apartment,-3894.0,34693.88,21,2,Y,Y,88,0,2,0.166,6,0
89,190,Pensioner,Higher education,Civil marriage,,,,30,0,N,Y,89,0,0,0.162,3,1
90,40,Working,Higher education,Single,Rented apartment,-8122.0,72678.59,53,1,N,Y,90,1,0,0.141,6,0
91,82,Working,Academic degree,Married,House / apartment,-14208.0,50729.94,36,1,N,N,91,0,0,0.193,4,1
92,111,Pensioner,Incomplete higher,Single,House / apartment,-3633.0,78964.37,59,1,N,N,92,0,0,0.332,5,1
93,53,Pensioner,Higher education,Married,House / apartment,-9037.0,47317.89,26,0,Y,Y,93,1,1,0.331,7,0
94,24,Working,Secondary,Single,Municipal apartment,-5453.0,33025.08,45,0,N,Y,94,1,2,0.109,9,0
95,154,Working,Incomplete higher,Widow,House / apartment,-13615.0,39604.41,40,0,N,N,95,0,0,0.169,9,1
96,188,Working,Higher education,Civil marriage,House / apartment,-2816.0,61362.62,56,0,N,N,96,0,0,0.252,8,1
97,124,Pensioner,Higher education,Married,Office apartment,-2424.0,43449.89,43,1,Y,Y,97,0,1,0.036,7,1
98,41,State servant,Higher education,Married,Municipal apartment,-1245.0,36712.63,36,2,N,Y,98,1,2,0.859,5,0
99,157,Working,Secondary,Married,House / apartment,-13940.0,24321.29,21,0,N,Y,99,1,2,0.578,4,0
100,15,Working,Lower secondary,Married,Rented apartment,-5437.0,32796.3,50,0,Y,N,100,0,2,0.551,3,0
101,45,Pensioner,Secondary,Married,House / apartment,-7077.0,40999.46,47,1,Y,Y,101,2,1,0.243,1,0
102,65,Working,Higher education,Married,House / apartment,-10862.0,37737.6,22,0,N,N,102,2,2,0.217,7,0
103,89,Working,Higher education,Married,House / apartment,-13851.0,31616.37,41,0,N,Y,103,0,0,0.027,2,1
104,71,State servant,Secondary,Married,Municipal apartment,-656.0,98796.72,29,3,Y,N,104,0,0,0.362,5,1
105,9,Working,Incomplete higher,Married,With parents,-7307.0,64227.09,44,0,N,Y,105,1,2,0.384,0,0
106,88,Commercial associate,Secondary,Widow,House / apartment,-3606.0,131460.42,61,0,Y,Y,106,0,1,0.441,4,0
107,129,Working,Secondary,Single,Rented apartment,-7508.0,23805.14,59,1,N,Y,107,1,0,0.209,2,0
108,136,Working,Higher education,Married,House / apartment,-8673.0,56438.94,62,0,Y,N,108,0,3,0.308,0,1
109,63,Pensioner,Incomplete higher,Married,With parents,-11647.0,40312.87,27,0,Y,Y,109,0,2,0.324,6,1
110,139,Working,Secondary,Married,House / apartment,-3866.0,49456.26,50,1,N,N,110,0,0,0.534,7,1
111,81,Student,Higher education,Married,House / apartment,-1636.0,112740.97,22,2,N,N,111,0,1,0.108,9,1
112,136,Commercial associate,Secondary,Married,House / apartment,-9031.0,22409.23,32,1,N,Y,112,0,1,0.096,8,0
113,163,Working,Higher education,Civil marriage,Rented apartment,-10372.0,37883.79,33,1,Y,N,113,0,2,0.151,3,0
114,163,Working,Higher education,Single,House / apartment,-11552.0,35008.35,23,0,N,N,114,3,0,0.171,1,0
115,33,Working,Higher education,Single,With parents,-1394.0,37929.34,63,1,Y,N,115,1,1,0.399,7,0
116,123,Working,Higher education,Married,House / apartment,-9673.0,18962.03,60,2,Y,N,116,2,1,0.489,8,0
117,5,Working,Higher education,Separated,With parents,-3761.0,87414.51,63,0,Y,N,117,0,0,0.706,3,1
118,41,Working,Higher education,Separated,House / apartment,-4098.0,88991.24,38,2,Y,Y,118,1,1,0.092,5,1
119,28,Working,Secondary,Married,House / apartment,-5308.0,63694.06,59,0,N,N,119,0,0,0.236,4,1
120,135,Commercial associate,Higher education,Married,,,,64,1,Y,N,120,0,1,0.109,8,1
121,72,Commercial associate,Higher education,Married,Municipal apartment,-9951.0,55544.43,26,0,N,Y,121,0,1,0.424,3,1
122,12,Commercial associate,Higher education,Married,,,,62,2,N,Y,122,2,2,0.092,6,1
123,162,Working,Secondary,Single,House / apartment,-4942.0,58382.53,47,1,Y,N,123,0,1,0.417,1,1
124,33,Working,Higher education,Married,Rented apartment,-4860.0,47943.94,35,0,N,Y,124,0,2,0.277,0,1
125,48,Commercial associate,Higher education,Married,Municipal apartment,-2907.0,92481.25,35,1,Y,N,125,1,1,0.216,0,0
126,151,Working,Incomplete higher,Married,House / apartment,-11492.0,35628.0,39,2,N,Y,126,0,0,0.375,4,0
127,62,Working,Secondary,Married,Office apartment,-14700.0,45434.43,58,1,N,N,127,1,0,0.339,6,0
128,37,Pensioner,Incomplete higher,Civil marriage,With parents,-2686.0,64959.56,40,2,N,Y,128,0,0,0.261,4,1
129,99,Pensioner,Higher education,Single,House / apartment,-3831.0,56558.37,40,0,N,N,129,0,0,0.125,3,1
130,172,Working,Higher education,Single,,,,38,0,Y,Y,130,0,1,0.238,8,1
131,104,Working,Secondary,Married,With parents,-12400.0,62323.35,54,0,Y,N,131,1,0,0.317,1,1
132,35,Pensioner,Higher education,Single,Municipal apartment,-12847.0,62080.67,59,1,N,Y,132,0,2,0.193,1,1
133,193,Commercial associate,Higher education,Married,House / apartment,-2127.0,41599.01,57,0,Y,N,133,0,0,0.386,9,0
134,101,Pensioner,Higher education,Single,House / apartment,-93.0,35815.02,55,0,N,Y,134,0,4,0.451,0,0
135,175,Pensioner,Incomplete higher,Married,House / apartment,-10095.0,52141.29,58,1,N,Y,135,0,1,0.512,4,1
136,131,Pensioner,Higher education,Married,House / apartment,-2079.0,96764.45,58,0,Y,Y,136,0,1,0.271,4,1
137,1,Working,Incomplete higher,Married,House / apartment,-10982.0,48475.45,21,1,Y,N,137,0,1,0.058,0,1
138,5,Working,Incomplete higher,Married,House / apartment,-974.0,64198.13,32,1,Y,N,138,0,1,0.233,5,1
139,142,Commercial associate,Higher education,Widow,With parents,-11918.0,51564.92,25,0,N,Y,139,0,1,0.068,4,1
140,103,Commercial associate,Secondary,Married,Municipal apartment,-7926.0,122415.51,47,0,Y,N,140,1,2,0.273,6,1
141,27,Commercial associate,Secondary,Married,House / apartment,-2054.0,46070.95,59,1,N,N,141,0,1,0.611,0,1
142,137,Working,Incomplete higher,Married,House / apartment,-13761.0,64297.54,40,0,N,Y,142,0,0,0.193,2,1
143,15,Working,Higher education,Civil marriage,House / apartment,-3875.0,35472.04,60,1,Y,N,143,0,2,0.451,9,0
144,90,Pensioner,Secondary,Married,House / apartment,-4440.0,29608.06,39,0,N,Y,144,0,3,0.307,8,0
145,42,Commercial associate,Higher education,Single,Rented apartment,-14541.0,48868.79,58,4,N,Y,145,0,0,0.223,5,1
146,124,State servant,Lower secondary,Civil marriage,With parents,-2780.0,83407.55,35,1,N,N,146,0,1,0.132,1,1
147,179,Pensioner,Higher education,Married,House / apartment,-7018.0,65193.5,26,0,N,Y,147,0,3,0.178,8,1
148,63,Commercial associate,Higher education,Married,House / apartment,-12374.0,19170.34,29,0,Y,Y,148,0,2,0.158,2,1
149,96,Commercial associate,Secondary,Married,House / apartment,-11237.0,68171.83,56,0,N,N,149,0,0,0.182,2,1
150,52,Pensioner,Incomplete higher,Civil marriage,House / apartment,-7980.0,24609.61,43,0,N,N,150,0,1,0.204,1,0
151,96,Commercial associate,Secondary,Married,House / apartment,-12199.0,71538.89,30,0,Y,Y,151,0,1,0.295,4,1
152,132,Commercial associate,Higher education,Married,Municipal apartment,-2553.0,62629.04,21,2,N,Y,152,1,3,0.125,2,1
153,151,Working,Higher education,Single,With parents,-14537.0,45825.11,31,1,N,N,153,2,4,0.211,5,0
154,143,Working,Lower secondary,Single,House / apartment,-14003.0,68000.05,40,2,N,N,154,2,1,0.086,4,1
155,171,Commercial associate,Secondary,Married,Municipal apartment,-9359.0,43527.15,48,1,Y,N,155,0,3,0.499,8,0
156,29,Working,Incomplete higher,Married,With parents,-8616.0,52428.92,42,1,N,Y,156,0,1,0.566,9,1
157,36,Working,Higher education,Married,Municipal apartment,-1777.0,25662.76,40,3,Y,N,157,0,1,0.149,9,1
158,13,Working,Higher education,Married,Rented apartment,-3802.0,43682.83,58,2,N,Y,158,0,1,0.207,2,1
159,160,Working,Secondary,Married,House / apartment,-13322.0,74290.48,36,0,N,N,159,1,0,0.546,2,0
160,71,Working,Incomplete higher,Separated,House / apartment,-14136.0,26929.52,22,1,N,Y,160,1,2,0.272,3,0
161,187,Working,Higher education,Married,Rented apartment,-5618.0,70854.28,45,1,N,N,161,1,0,0.264,4,0
162,86,State servant,Incomplete higher,Civil marriage,Municipal apartment,-7264.0,19763.18,47,0,Y,Y,162,0,0,0.106,9,1
163,28,Working,Secondary,Single,Rented apartment,-12303.0,28700.85,23,1,Y,N,163,1,2,0.368,7,0
164,66,Working,Higher education,Married,House / apartment,-4434.0,42546.2,43,0,Y,Y,164,0,2,0.456,1,0
165,170,Working,Higher education,Single,House / apartment,-5944.0,52528.61,52,0,Y,Y,165,1,4,0.147,9,0
166,45,Commercial associate,Higher education,Married,House / apartment,-4232.0,37883.82,37,1,N,N,166,0,0,0.526,0,1
167,62,Working,Secondary,Widow,House / apartment,-2893.0,37421.35,60,1,N,Y,167,0,0,0.496,6,0
168,185,Pensioner,Higher education,Civil marriage,House / apartment,-1416.0,80678.08,40,1,Y,Y,168,0,1,0.186,7,1
169,134,Commercial associate,Higher education,Married,House / apartment,-12074.0,83693.0,50,0,N,Y,169,0,0,0.195,4,1
170,28,Pensioner,Incomplete higher,Married,House / apartment,-777.0,40498.58,48,1,N,Y,170,0,0,0.211,7,0
171,28,Working,Higher education,Married,House / apartment,-7458.0,41054.24,43,0,Y,Y,171,0,1,0.786,7,0
172,108,Commercial associate,Higher education,Married,House / apartment,-10571.0,43080.49,39,0,Y,Y,172,0,0,0.304,3,0
173,44,Working,Higher education,Married,House / apartment,-7590.0,132984.17,45,0,N,N,173,0,2,0.482,9,1
174,84,State servant,Secondary,Married,House / apartment,-1069.0,49396.41,44,1,Y,N,174,1,1,0.145,2,1
175,30,Commercial associate,Secondary,Single,House / apartment,-7782.0,99404.98,21,2,N,Y,175,0,2,0.242,8,0
176,190,Working,Higher education,Married,Rented apartment,-7975.0,68146.0,48,1,N,Y,176,0,1,0.519,3,1
177,75,Working,Secondary,Civil marriage,House / apartment,-12603.0,46761.27,49,2,N,N,177,2,2,0.265,5,0
178,128,Working,Secondary,Civil marriage,House / apartment,-12779.0,36631.93,64,0,Y,Y,178,0,0,0.692,1,0
179,92,Commercial associate,Higher education,Married,Municipal apartment,-549.0,69608.04,55,0,N,Y,179,0,2,0.178,6,1
180,190,Working,Higher education,Civil marriage,House / apartment,-9186.0,34414.77,37,3,N,Y,180,0,0,0.058,6,0
181,129,Commercial associate,Higher education,Married,With parents,-8496.0,41194.87,31,0,Y,Y,181,0,1,0.441,5,0
182,121,Working,Higher education,Married,House / apartment,-7478.0,65938.57,57,2,Y,Y,182,1,0,0.123,0,0
183,27,Commercial associate,Secondary,Single,Rented apartment,-9215.0,43990.85,27,0,N,N,183,0,0,0.241,1,0
184,190,Pensioner,Secondary,Married,House / apartment,-5026.0,41038.72,46,1,N,Y,184,0,1,0.748,2,0
185,121,Pensioner,Higher education,Single,Office apartment,-8781.0,42677.42,43,0,N,N,185,1,2,0.554,2,0
186,116,Pensioner,Higher education,Civil marriage,Municipal apartment,-11002.0,35989.54,38,0,N,N,186,1,1,0.24,5,0
187,3,Working,Higher education,Widow,,,,49,1,N,N,187,1,3,0.214,7,0
188,103,Working,Secondary,Single,With parents,-1608.0,49826.91,59,0,Y,Y,188,0,3,0.335,2,1
189,198,Commercial associate,Higher education,Single,House / apartment,-2641.0,26628.11,54,2,N,Y,189,1,0,0.25,3,0
190,155,Working,Secondary,Married,House / apartment,-10453.0,39365.3,58,1,Y,Y,190,0,0,0.745,8,0
191,137,Working,Higher education,Married,House / apartment,-3850.0,41557.42,28,1,Y,Y,191,0,1,0.33,7,0
192,62,Working,Secondary,Single,Rented apartment,-5030.0,41426.67,41,0,N,N,192,0,0,0.463,7,0
193,165,Working,Incomplete higher,Married,,,,41,0,N,Y,193,1,0,0.457,0,0
194,51,Working,Higher education,Married,House / apartment,-5983.0,35739.54,56,2,N,N,194,0,1,0.338,8,1
195,172,Pensioner,Higher education,Married,With parents,-11339.0,165502.87,37,3,Y,N,195,1,2,0.188,6,1
196,152,Working,Academic degree,Single,House / apartment,-1377.0,91445.64,36,1,Y,N,196,0,0,0.065,9,1
197,59,Commercial associate,Higher education,Married,House / apartment,-3439.0,91247.55,35,1,N,Y,197,0,1,0.227,3,1
198,118,Working,Secondary,Single,With parents,-3713.0,30786.62,35,1,Y,N,198,1,1,0.178,5,0
199,160,Commercial associate,Higher education,Married,,,,60,2,Y,N,199,1,0,0.135,0,1
200,96,Working,Secondary,Married,House / apartment,-14949.0,42083.83,37,0,N,Y,200,0,1,0.123,7,1
201,180,Pensioner,Higher education,Married,Rented apartment,-8942.0,55942.89,21,1,Y,Y,201,0,1,0.032,8,0
202,113,Pensioner,Lower secondary,Married,House / apartment,-3447.0,45575.18,33,1,N,Y,202,0,1,0.108,8,1
203,62,Working,Secondary,Civil marriage,House / apartment,-11485.0,38622.09,58,1,N,Y,203,3,1,0.212,8,0
204,186,State servant,Secondary,Married,House / apartment,-2246.0,22394.16,30,1,N,Y,204,0,4,0.144,0,0
205,52,Student,Secondary,Married,House / apartment,-11670.0,36226.15,53,1,N,Y,205,0,1,0.325,9,0
206,12,Pensioner,Secondary,Married,House / apartment,-7509.0,43941.48,46,0,Y,Y,206,0,0,0.567,9,0
207,39,Pensioner,Higher education,Married,House / apartment,-13326.0,39225.6,32,0,N,N,207,1,0,0.107,9,0
208,130,Working,Incomplete higher,Married,Municipal apartment,-8972.0,39125.26,39,1,Y,Y,208,1,1,0.297,8,0
209,131,Commercial associate,Lower secondary,Married,House / apartment,-3943.0,34227.02,35,0,Y,N,209,1,2,0.403,9,0
210,113,Working,Higher education,Widow,Municipal apartment,-13639.0,103227.06,25,0,N,Y,210,0,1,0.088,5,1
211,101,Working,Lower secondary,Single,House / apartment,-6022.0,67427.03,22,0,Y,N,211,0,2,0.516,5,0
212,113,Student,Secondary,Married,Office apartment,-14445.0,75373.01,34,1,Y,Y,212,1,0,0.306,0,0
213,184,Working,Secondary,Married,House / apartment,-4769.0,55422.86,49,1,Y,N,213,0,1,0.323,1,1
214,81,Commercial associate,Higher education,Married,House / apartment,-406.0,26881.83,61,0,Y,Y,214,0,3,0.07,9,0
215,187,Pensioner,Higher education,Married,House / apartment,-7208.0,68342.97,21,1,N,Y,215,2,2,0.207,7,1
216,113,Pensioner,Higher education,Single,Rented apartment,-5046.0,89922.2,33,1,N,N,216,1,1,0.307,1,0
217,2,Student,Higher education,Civil marriage,Municipal apartment,-12888.0,96021.41,52,0,N,N,217,0,2,0.117,9,1
218,130,Working,Secondary,Married,House / apartment,-12790.0,64902.23,54,0,N,Y,218,0,1,0.088,8,1
219,54,Working,Higher education,Civil marriage,House / apartment,-13299.0,49042.59,34,1,Y,N,219,0,1,0.262,3,1
220,87,Working,Higher education,Married,House / apartment,-4722.0,48979.09,58,1,Y,Y,220,0,0,0.399,3,1
221,129,Working,Academic degree,Married,Rented apartment,-12288.0,61911.0,58,0,Y,Y,221,1,0,0.205,4,1
222,147,Working,Higher education,Married,Rented apartment,-8537.0,23424.7,61,0,N,N,222,0,3,0.286,6,0
223,126,Working,Higher education,Married,Office apartment,-4401.0,65340.07,35,1,N,Y,223,0,0,0.301,0,1
224,130,Pensioner,Higher education,Separated,Municipal apartment,-12684.0,39396.87,59,2,N,Y,224,0,1,0.454,8,0
225,53,Commercial associate,Higher education,Married,Rented apartment,-341.0,132489.68,26,0,N,Y,225,0,1,0.407,5,0
226,172,Working,Secondary,Married,House / apartment,-8531.0,42820.67,49,0,Y,Y,226,0,0,0.136,4,0
227,160,Commercial associate,Secondary,Widow,Municipal apartment,-13390.0,53505.6,57,0,Y,Y,227,1,1,0.571,4,0
228,198,Working,Secondary,Civil marriage,With parents,-10648.0,52319.47,39,0,N,Y,228,0,1,0.511,0,1
229,160,Working,Higher education,Single,Rented apartment,-8657.0,35901.64,21,1,N,N,229,0,0,0.324,0,1
230,68,Pensioner,Secondary,Separated,House / apartment,-10295.0,60221.57,41,2,Y,Y,230,1,0,0.269,6,1
231,183,Commercial associate,Higher education,Married,House / apartment,-5681.0,57178.92,59,0,N,Y,231,0,0,0.378,1,1
232,184,Pensioner,Higher education,Civil marriage,House / apartment,-9509.0,77672.94,38,0,N,N,232,0,0,0.337,3,1
233,123,Working,Higher education,Single,With parents,-5904.0,67792.13,47,0,N,Y,233,0,0,0.436,7,1
234,145,Pensioner,Higher education,Civil marriage,House / apartment,-6645.0,53327.98,48,0,N,Y,234,1,0,0.088,5,1
235,38,Commercial associate,Higher education,Single,House / apartment,-5672.0,33912.84,28,0,N,N,235,1,1,0.326,3,0
236,24,Commercial associate,Higher education,Married,House / apartment,-10290.0,34359.3,51,2,Y,N,236,0,0,0.139,6,0
237,69,Commercial associate,Academic degree,Single,House / apartment,-12975.0,103327.09,32,2,Y,Y,237,2,0,0.192,6,1
238,116,Pensioner,Higher education,Married,House / apartment,-14895.0,50981.39,62,0,Y,N,238,0,2,0.16,0,1
239,98,Commercial associate,Higher education,Married,,,,26,3,Y,N,239,0,0,0.486,0,0
240,198,Commercial associate,Higher education,Married,Rented apartment,-10541.0,33920.8,46,0,N,N,240,2,1,0.61,4,0
241,139,Student,Secondary,Separated,With parents,-11908.0,131559.56,36,0,Y,Y,241,0,2,0.149,6,1
