ApplicantID,UserID,EmploymentDays,AnnualIncome,Age,NumChildren,OwnsCar,OwnsRealty,HistoryID,PastDefaults,OverdueMonths,CreditUtilization,ExistingCreditLines,Approved,YearsEmployed,IncomePerFamilyMember,HasPastDefault,HighUtilization,IncomeType_Pensioner,IncomeType_State servant,IncomeType_Student,IncomeType_Working,EducationType_Higher education,EducationType_Incomplete higher,EducationType_Lower secondary,EducationType_Secondary,FamilyStatus_Married,FamilyStatus_Separated,FamilyStatus_Single,FamilyStatus_Widow,HousingType_Municipal apartment,HousingType_Office apartment,HousingType_Rented apartment,HousingType_With parents
23,38,-13478.0,56673.71,30,1,0,0,23,0,0,0.168,6,1,36.9,28336.86,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
24,130,-8575.0,48075.19,62,1,1,1,24,1,1,0.349,1,1,23.48,24037.6,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True
25,192,-7523.0,60384.57,29,0,1,1,25,1,2,0.072,5,0,20.6,60384.57,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
26,188,-12198.0,66883.91,31,0,1,0,26,0,2,0.471,7,0,33.4,66883.91,0,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
27,21,-11878.0,56611.6,58,0,0,1,27,0,0,0.074,2,1,32.52,56611.6,0,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
28,161,-2218.0,62173.77,51,3,0,1,28,1,0,0.35,8,0,6.07,15543.44,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
29,58,-12544.0,102340.24,22,0,0,1,29,0,1,0.106,7,1,34.34,102340.24,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
30,22,-13351.0,43002.94,44,0,0,1,30,2,2,0.192,2,0,36.55,43002.94,1,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
31,89,-12680.0,28254.45,62,2,0,1,31,0,2,0.114,6,0,34.72,9418.15,0,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
32,49,-4303.0,56460.08,25,0,1,1,32,0,1,0.097,7,1,11.78,56460.08,0,0,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
33,59,-13857.0,27540.15,50,0,0,1,33,1,2,0.434,0,0,37.94,27540.15,1,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
34,170,-3036.0,29592.72,59,0,1,1,34,2,0,0.216,2,0,8.31,29592.72,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
35,188,-6763.0,33862.21,55,0,1,1,35,0,1,0.266,9,0,18.52,33862.21,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
36,15,-7646.5,48869.020000000004,37,1,0,1,36,0,0,0.392,8,1,20.93,24434.51,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
37,190,-10594.0,82938.47,51,4,0,1,37,1,1,0.326,6,0,29.0,16587.69,1,0,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
38,190,-12391.0,50111.71,22,1,0,1,38,2,0,0.123,0,0,33.92,25055.86,1,0,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
39,175,-2382.0,67376.73,36,1,1,0,39,0,1,0.341,4,1,6.52,33688.36,0,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
40,190,-2702.0,61674.08,41,0,0,1,40,1,1,0.643,9,0,7.4,61674.08,1,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
41,51,-1805.0,44601.48,50,0,0,0,41,0,1,0.195,2,1,4.94,44601.48,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
42,108,-7409.0,75525.58,21,0,0,0,42,0,0,0.285,1,1,20.28,75525.58,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
43,55,-11881.0,39452.17,34,2,0,1,43,2,2,0.173,0,0,32.53,13150.72,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
44,64,-13600.0,45452.21,36,1,1,1,44,0,0,0.444,1,0,37.23,22726.1,0,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
45,131,-5217.0,35648.83,29,0,0,1,45,0,0,0.332,0,1,14.28,35648.83,0,0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
46,51,-6801.0,92054.64,28,1,0,1,46,1,2,0.198,5,0,18.62,46027.32,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
47,135,-5825.0,46713.53,29,2,0,1,47,0,0,0.279,8,1,15.95,15571.18,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
48,21,-11403.0,64158.54,54,0,1,0,48,0,2,0.493,2,1,31.22,64158.54,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
49,73,-5058.0,37734.96,53,3,1,1,49,0,1,0.083,9,0,13.85,9433.74,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
50,167,-9511.0,71765.48,42,0,0,1,50,1,1,0.14,9,1,26.04,71765.48,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
51,18,-11489.0,69408.28,50,0,1,0,51,1,2,0.398,0,1,31.46,69408.28,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
52,132,-11172.0,23588.96,27,0,1,0,52,0,1,0.286,5,1,30.59,23588.96,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
53,89,-14435.0,49111.88,38,1,1,1,53,1,2,0.021,5,1,39.52,24555.94,1,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
54,60,-7349.0,51668.59,41,3,1,1,54,0,1,0.485,1,1,20.12,12917.15,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
55,14,-4488.0,42835.62,25,0,1,0,55,0,2,0.032,3,0,12.29,42835.62,0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
56,9,-5908.0,91410.87,27,1,1,1,56,0,1,0.291,4,1,16.18,45705.44,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
57,90,-4630.0,28345.93,32,2,0,0,57,1,0,0.127,5,0,12.68,9448.64,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
58,53,-3216.0,40065.58,37,0,1,1,58,0,1,0.196,5,0,8.8,40065.58,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
59,130,-12229.0,33449.7,44,0,0,1,59,0,0,0.338,1,0,33.48,33449.7,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
60,84,-8223.0,77922.08,57,1,0,1,60,0,1,0.695,4,1,22.51,38961.04,0,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
61,92,-14887.0,30857.15,64,2,0,0,61,0,2,0.315,4,0,40.76,10285.72,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
62,111,-14469.0,21489.89,39,3,1,0,62,0,1,0.063,9,1,39.61,5372.47,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
63,188,-5286.0,59523.31,36,0,0,1,63,2,0,0.184,1,0,14.47,59523.31,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
64,199,-11590.0,46044.92,45,0,0,1,64,0,1,0.192,6,1,31.73,46044.92,0,0,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
65,172,-5764.0,78288.6,47,0,1,1,65,0,0,0.533,9,0,15.78,78288.6,0,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
66,8,-9161.0,70654.32,62,0,0,0,66,0,1,0.135,1,1,25.08,70654.32,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
67,175,-6776.0,48092.55,64,1,1,1,67,1,0,0.332,0,0,18.55,24046.28,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
68,35,-6676.0,25605.69,27,2,1,0,68,0,0,0.486,5,1,18.28,8535.23,0,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
69,81,-3841.0,28591.19,62,2,0,0,69,0,0,0.256,0,0,10.52,9530.4,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
70,164,-13274.0,22071.98,28,0,1,1,70,0,2,0.311,3,1,36.34,22071.98,0,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
71,50,-9930.0,46063.78,35,1,0,0,71,0,2,0.509,3,1,27.19,23031.89,0,1,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
72,104,-6783.0,36445.88,36,1,0,1,72,2,0,0.008,5,0,18.57,18222.94,1,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
73,132,-12352.0,45192.04,28,0,1,1,73,0,1,0.147,4,0,33.82,45192.04,0,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
74,2,-2168.0,53003.0,56,0,1,0,74,0,2,0.352,3,1,5.94,53003.0,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
75,134,-5547.0,115178.15,52,2,0,1,75,1,0,0.486,5,1,15.19,38392.72,1,0,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False
76,54,-12935.0,63665.0,37,0,0,0,76,1,2,0.256,9,1,35.41,63665.0,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
77,106,-3463.0,50619.98,56,0,0,1,77,0,1,0.264,4,1,9.48,50619.98,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
78,4,-14067.0,24241.99,42,0,0,1,78,1,0,0.285,6,0,38.51,24241.99,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
79,54,-376.0,49602.43,52,1,0,0,79,0,2,0.632,4,0,1.03,24801.22,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
80,191,-13950.0,72898.89,31,0,0,0,80,0,1,0.5,8,0,38.19,72898.89,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
81,146,-5992.0,58447.12,26,0,1,0,81,0,0,0.345,2,1,16.41,58447.12,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
82,44,-8970.0,30591.04,42,2,0,1,82,1,1,0.023,1,0,24.56,10197.01,1,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
83,162,-2605.0,41381.85,34,1,0,1,83,0,1,0.505,0,1,7.13,20690.92,0,1,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
84,190,-7884.0,50666.38,48,0,0,0,84,0,1,0.082,4,0,21.59,50666.38,0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
85,14,-9957.0,40796.4,59,2,1,1,85,0,2,0.215,7,1,27.26,13598.8,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
86,95,-6071.0,37134.52,32,2,0,0,86,0,1,0.288,8,0,16.62,12378.17,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
87,48,-8533.0,18652.94,47,2,0,1,87,1,3,0.235,2,0,23.36,6217.65,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
88,15,-3894.0,34693.88,21,2,1,1,88,0,2,0.166,6,0,10.66,11564.63,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
89,190,-7646.5,48869.020000000004,30,0,0,1,89,0,0,0.162,3,1,20.93,48869.02,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
90,40,-8122.0,72678.59,53,1,0,1,90,1,0,0.141,6,0,22.24,36339.3,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
91,82,-14208.0,50729.94,36,1,0,0,91,0,0,0.193,4,1,38.9,25364.97,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
92,111,-3633.0,78964.37,59,1,0,0,92,0,0,0.332,5,1,9.95,39482.18,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
93,53,-9037.0,47317.89,26,0,1,1,93,1,1,0.331,7,0,24.74,47317.89,1,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
94,24,-5453.0,33025.08,45,0,0,1,94,1,2,0.109,9,0,14.93,33025.08,1,0,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
95,154,-13615.0,39604.41,40,0,0,0,95,0,0,0.169,9,1,37.28,39604.41,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
96,188,-2816.0,61362.62,56,0,0,0,96,0,0,0.252,8,1,7.71,61362.62,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
97,124,-2424.0,43449.89,43,1,1,1,97,0,1,0.036,7,1,6.64,21724.94,0,0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
98,41,-1245.0,36712.63,36,2,0,1,98,1,2,0.859,5,0,3.41,12237.54,1,1,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
99,157,-13940.0,24321.29,21,0,0,1,99,1,2,0.578,4,0,38.17,24321.29,1,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
100,15,-5437.0,32796.3,50,0,1,0,100,0,2,0.551,3,0,14.89,32796.3,0,1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
101,45,-7077.0,40999.46,47,1,1,1,101,2,1,0.243,1,0,19.38,20499.73,1,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
102,65,-10862.0,37737.6,22,0,0,0,102,2,2,0.217,7,0,29.74,37737.6,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
103,89,-13851.0,31616.37,41,0,0,1,103,0,0,0.027,2,1,37.92,31616.37,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
104,71,-656.0,98796.72,29,3,1,0,104,0,0,0.362,5,1,1.8,24699.18,0,0,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False
105,9,-7307.0,64227.09,44,0,0,1,105,1,2,0.384,0,0,20.01,64227.09,1,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
106,88,-3606.0,131460.42,61,0,1,1,106,0,1,0.441,4,0,9.87,131460.42,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
107,129,-7508.0,23805.14,59,1,0,1,107,1,0,0.209,2,0,20.56,11902.57,1,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
108,136,-8673.0,56438.94,62,0,1,0,108,0,3,0.308,0,1,23.75,56438.94,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
109,63,-11647.0,40312.87,27,0,1,1,109,0,2,0.324,6,1,31.89,40312.87,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
110,139,-3866.0,49456.26,50,1,0,0,110,0,0,0.534,7,1,10.58,24728.13,0,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
111,81,-1636.0,112740.97,22,2,0,0,111,0,1,0.108,9,1,4.48,37580.32,0,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
112,136,-9031.0,22409.23,32,1,0,1,112,0,1,0.096,8,0,24.73,11204.62,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
113,163,-10372.0,37883.79,33,1,1,0,113,0,2,0.151,3,0,28.4,18941.9,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
114,163,-11552.0,35008.35,23,0,0,0,114,3,0,0.171,1,0,31.63,35008.35,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
115,33,-1394.0,37929.34,63,1,1,0,115,1,1,0.399,7,0,3.82,18964.67,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
116,123,-9673.0,18962.03,60,2,1,0,116,2,1,0.489,8,0,26.48,6320.68,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
117,5,-3761.0,87414.51,63,0,1,0,117,0,0,0.706,3,1,10.3,87414.51,0,1,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
118,41,-4098.0,88991.24,38,2,1,1,118,1,1,0.092,5,1,11.22,29663.75,1,0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
119,28,-5308.0,63694.06,59,0,0,0,119,0,0,0.236,4,1,14.53,63694.06,0,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
120,135,-7646.5,48869.020000000004,64,1,1,0,120,0,1,0.109,8,1,20.93,24434.51,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
121,72,-9951.0,55544.43,26,0,0,1,121,0,1,0.424,3,1,27.24,55544.43,0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
122,12,-7646.5,48869.020000000004,62,2,0,1,122,2,2,0.092,6,1,20.93,16289.67,1,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
123,162,-4942.0,58382.53,47,1,1,0,123,0,1,0.417,1,1,13.53,29191.26,0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
124,33,-4860.0,47943.94,35,0,0,1,124,0,2,0.277,0,1,13.31,47943.94,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
125,48,-2907.0,92481.25,35,1,1,0,125,1,1,0.216,0,0,7.96,46240.62,1,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
126,151,-11492.0,35628.0,39,2,0,1,126,0,0,0.375,4,0,31.46,11876.0,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
127,62,-14700.0,45434.43,58,1,0,0,127,1,0,0.339,6,0,40.25,22717.22,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False
128,37,-2686.0,64959.56,40,2,0,1,128,0,0,0.261,4,1,7.35,21653.19,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
129,99,-3831.0,56558.37,40,0,0,0,129,0,0,0.125,3,1,10.49,56558.37,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
130,172,-7646.5,48869.020000000004,38,0,1,1,130,0,1,0.238,8,1,20.93,48869.02,0,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
131,104,-12400.0,62323.35,54,0,1,0,131,1,0,0.317,1,1,33.95,62323.35,1,0,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True
132,35,-12847.0,62080.67,59,1,0,1,132,0,2,0.193,1,1,35.17,31040.34,0,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
133,193,-2127.0,41599.01,57,0,1,0,133,0,0,0.386,9,0,5.82,41599.01,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
134,101,-93.0,35815.02,55,0,0,1,134,0,4,0.451,0,0,0.25,35815.02,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
135,175,-10095.0,52141.29,58,1,0,1,135,0,1,0.512,4,1,27.64,26070.64,0,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
136,131,-2079.0,96764.45,58,0,1,1,136,0,1,0.271,4,1,5.69,96764.45,0,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
137,1,-10982.0,48475.45,21,1,1,0,137,0,1,0.058,0,1,30.07,24237.72,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
138,5,-974.0,64198.13,32,1,1,0,138,0,1,0.233,5,1,2.67,32099.06,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
139,142,-11918.0,51564.92,25,0,0,1,139,0,1,0.068,4,1,32.63,51564.92,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
140,103,-7926.0,122415.51,47,0,1,0,140,1,2,0.273,6,1,21.7,122415.51,1,0,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
141,27,-2054.0,46070.95,59,1,0,0,141,0,1,0.611,0,1,5.62,23035.48,0,1,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
142,137,-13761.0,64297.54,40,0,0,1,142,0,0,0.193,2,1,37.68,64297.54,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
143,15,-3875.0,35472.04,60,1,1,0,143,0,2,0.451,9,0,10.61,17736.02,0,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
144,90,-4440.0,29608.06,39,0,0,1,144,0,3,0.307,8,0,12.16,29608.06,0,0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
145,42,-14541.0,48868.79,58,4,0,1,145,0,0,0.223,5,1,39.81,9773.76,0,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
146,124,-2780.0,83407.55,35,1,0,0,146,0,1,0.132,1,1,7.61,41703.78,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
147,179,-7018.0,65193.5,26,0,0,1,147,0,3,0.178,8,1,19.21,65193.5,0,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
148,63,-12374.0,19170.34,29,0,1,1,148,0,2,0.158,2,1,33.88,19170.34,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
149,96,-11237.0,68171.83,56,0,0,0,149,0,0,0.182,2,1,30.77,68171.83,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
150,52,-7980.0,24609.61,43,0,0,0,150,0,1,0.204,1,0,21.85,24609.61,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
151,96,-12199.0,71538.89,30,0,1,1,151,0,1,0.295,4,1,33.4,71538.89,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
152,132,-2553.0,62629.04,21,2,0,1,152,1,3,0.125,2,1,6.99,20876.35,1,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
153,151,-14537.0,45825.11,31,1,0,0,153,2,4,0.211,5,0,39.8,22912.56,1,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
154,143,-14003.0,68000.05,40,2,0,0,154,2,1,0.086,4,1,38.34,22666.68,1,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
155,171,-9359.0,43527.15,48,1,1,0,155,0,3,0.499,8,0,25.62,21763.58,0,0,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
156,29,-8616.0,52428.92,42,1,0,1,156,0,1,0.566,9,1,23.59,26214.46,0,1,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
157,36,-1777.0,25662.76,40,3,1,0,157,0,1,0.149,9,1,4.87,6415.69,0,0,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
158,13,-3802.0,43682.83,58,2,0,1,158,0,1,0.207,2,1,10.41,14560.94,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
159,160,-13322.0,74290.48,36,0,0,0,159,1,0,0.546,2,0,36.47,74290.48,1,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
160,71,-14136.0,26929.52,22,1,0,1,160,1,2,0.272,3,0,38.7,13464.76,1,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
161,187,-5618.0,70854.28,45,1,0,0,161,1,0,0.264,4,0,15.38,35427.14,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
162,86,-7264.0,19763.18,47,0,1,1,162,0,0,0.106,9,1,19.89,19763.18,0,0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
163,28,-12303.0,28700.85,23,1,1,0,163,1,2,0.368,7,0,33.68,14350.42,1,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
